序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
114,521,长虹美菱,长虹美菱股份有限公司,安徽,合肥市,167.97亿,3609.45万,12815,1993-10-18,--,,冰箱、空调,家用电器,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售。
115,523,广州浪奇,广州市浪奇实业股份有限公司,广东,广州市,118.11亿,3379.96万,850,1993-11-08,--,,洗涤产品,化工原料、日化产品、糖制品、饮料,绿色日化板块、健康食品板块
116,524,岭南控股,广州岭南集团控股股份有限公司,广东,广州市,63.92亿,1.85亿,4843,1993-11-18,--,,餐饮,旅游业服务,为集商旅出行、住宿、会展、景区、汽车服务等业务为一体。
117,525,ST红太阳,南京红太阳股份有限公司,江苏,南京市,50.72亿,7.23亿,3117,1993-10-28,--,,农药,中间体、除草剂、杀虫剂、杀菌剂、农药制剂,原药和制剂产品的生产销售、化肥生态肥的销售。
118,526,学大教育,学大(厦门)教育科技集团股份有限公司,福建,厦门市,28.12亿,2258.00万,6713,1993-11-01,--,,教育培训,教育培训服务、房屋租赁、设备租赁,教育培训服务。
119,528,柳工,广西柳工机械股份有限公司,广西,柳州市,119.39亿,3.69亿,17122,1993-11-18,--,,工程机械,土石方机械、其他工程机械及配件、融资租赁,工程机械及关键零部件的研发、生产、销售和服务。
120,529,广弘控股,广东广弘控股股份有限公司,广东,广州市,23.06亿,1.56亿,1675,1993-11-18,--,,肉制品,食品板块、农牧板块、教育板块,食品冷藏、物流配送、畜禽养殖和食品加工；图书、电子出版物总发行、销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
121,530,冰山冷热,冰山冷热科技股份有限公司,辽宁,大连市,20.80亿,2.05亿,2485,1993-12-08,--,,制冷空调设备,制冷空调设备,工业制冷、食品冷冻冷藏、中央及商用空调以及制冷部件等制冷设备的生产和安装。
122,531,穗恒运A,广州恒运企业集团股份有限公司,广东,广州市,29.65亿,2.02亿,1230,1994-01-06,--,,火电,电力、房地产、环保及其他、蒸汽,电力、热力的生产和销售。
123,532,华金资本,珠海华金资本股份有限公司,广东,珠海市,4.79亿,6476.27万,976,1994-01-03,--,,电子零部件,电子设备制造业、电子器件制造业、公共设施服务业、投资与管理、医疗器械业,投资与管理、电子设备制造、电子器件制造、水质净化、医疗器械。
124,533,顺钠股份,广东顺钠电气股份有限公司,广东,佛山市,82.67亿,6662.72万,1245,1994-01-03,--,,厨卫电器,输配电设备业务、大宗商品贸易及供应链管理,输配电设备业务、大宗商品贸易及供应链管理业务。
125,534,万泽股份,万泽实业股份有限公司,广东,汕头市,2.55亿,7720.06万,1038,1994-01-10,--,,房地产开发,微生态活菌产品、高温合金,微生态活菌产品、高温合金及其制品的研发、生产及销售。
126,536,华映科技,华映科技(集团)股份有限公司,福建,福州市,48.89亿,1.98亿,3150,1993-11-26,--,,显示器件,模组、盖板玻璃、面板,显示模组业务、盖板玻璃业务、面板业务。
127,537,广宇发展,天津中绿电投资股份有限公司,天津,天津市,216.43亿,22.18亿,1519,1993-12-10,--,,房地产开发,房地产开发、宾馆酒店服务、经营租赁、物业服务,"风能和太阳能投资,开发,运营。"
128,538,云南白药,云南白药集团股份有限公司,云南,昆明市,243.15亿,31.33亿,8464,1993-12-15,--,,中药生产,工业产品(自制)、批发零售、农产品、其他服务,自制工业品的研发、生产和销售，以及药品批发零售业务。
129,539,粤电力A,广东电力发展股份有限公司,广东,广州市,266.44亿,11.38亿,8741,1993-11-26,--,,火电,售电、蒸气、粉煤灰综合利用、销售材料、劳务,电力项目的投资、建设和经营管理，电力的生产和销售业务。
130,540,中天金融,中天金融集团股份有限公司,贵州,贵阳市,172.64亿,21.44亿,5129,1994-02-02,--,,房地产开发,地产业务、金融业务,房地产、证券、保险等业务。
131,541,佛山照明,佛山电器照明股份有限公司,广东,佛山市,38.00亿,7.46亿,9287,1993-11-23,--,,照明设备,LED照明、传统照明、机动车灯具、开关、插座,研发、生产、销售高品质的绿色节能照明产品和机动车车灯产品、电工产品，并为客户提供整套的照明、电工解决方案和机动车车灯设计方案。
132,543,皖能电力,安徽省皖能股份有限公司,安徽,合肥市,122.07亿,7929.25万,3585,1993-12-20,--,,火电,电力、供热、煤炭、运输,电力、节能及相关项目投资、经营。
133,544,中原环保,中原环保股份有限公司,河南,郑州市,9.76亿,3.23亿,1757,1993-12-08,--,,污水处理,污水处理、供热销售、工程施工及管理,供水、城镇污水处理、农村污水治理、污泥处置、中水利用、集中供热、建筑垃圾资源化处置利用、环保设备制造、光伏发电、市政建设、园林绿化、水环境综合治理及技术研发等。
134,545,金浦钛业,金浦钛业股份有限公司,吉林,吉林市,17.41亿,1.66亿,1044,1993-12-15,--,,其他化学原料,钛白粉,钛白粉生产及销售。
135,546,金圆股份,金圆环保股份有限公司,吉林,长春市,50.73亿,4.02亿,2940,1993-12-15,--,,水泥,建材、环保、新材料,水泥、辅料及水泥制品生产、销售，建筑材料制作及技术服务。
136,547,航天发展,航天工业发展股份有限公司,福建,福州市,24.91亿,3.19亿,2917,1993-11-30,--,,通信传输设备,数字蓝军与蓝军装备产品、海洋信息装备产品、新一代通信与指控装备产品、网络空间安全产品、微系统产品,以电子信息科技为主业，致力于军用、民用产业领域。
137,548,湖南投资,湖南投资集团股份有限公司,湖南,长沙市,9.71亿,1.22亿,820,1993-12-20,--,,高速公路,高速公路建设运营、资产管理和物业服务、酒店投资经营、城市综合体投资开发,高速公路建设运营、资产管理和物业服务、酒店投资经营、城市综合体投资开发。
138,550,江铃汽车,江铃汽车股份有限公司,江西,南昌市,313.46亿,6.91亿,12930,1993-12-01,--,,商用车,商用车、SUV、相关零部件,生产和销售商用车、SUV以及相关的零部件。
139,551,创元科技,创元科技股份有限公司,江苏,苏州市,25.91亿,1.35亿,2798,1994-01-06,--,,综合,设备及工程、输变电高压瓷绝缘子、精密轴承、测绘仪器、磨具磨料、贸易、服务,洁净环保设备、高压电瓷、轴承滚针、测绘仪器、磨具磨料、代理出口贸易等。
140,552,靖远煤电,甘肃靖远煤电股份有限公司,甘肃,白银市,39.81亿,5.53亿,12361,1994-01-06,--,,煤炭开采洗选,煤炭、发电,煤炭开采和销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
141,553,安道麦A,安道麦股份有限公司,湖北,荆州市,238.20亿,15.46亿,9201,1993-12-03,--,,农药,除草剂、杀虫剂、杀菌剂、精细化工产品(非农),农药、化工产品的制造和销售，农药、化工产品及其中间体的进出口贸易
142,554,泰山石油,中国石化山东泰山石油股份有限公司,山东,泰安市,27.19亿,284.67万,1135,1993-12-15,--,,石油天然气贸易,汽油、柴油、天然气,主要从事成品油批发零售业务以及非油品业务。
143,555,神州信息,神州数码信息服务股份有限公司,广东,深圳市,81.87亿,3.18亿,13361,1994-04-08,--,,其他软件服务,系统集成、软件开发及技术服务,技术服务、农业信息化、应用软件开发、金融专用设备相关业务及集成解决方案。
144,557,西部创业,宁夏西部创业实业股份有限公司,宁夏,银川市,6.60亿,8699.15万,1111,1994-06-17,--,,铁路运输,货运、住宿餐饮、葡萄酒,铁路运输、供应链服务、葡萄酒销售。
145,558,莱茵体育,莱茵达体育发展股份有限公司,浙江,杭州市,13.24亿,4496.12万,60,1994-05-09,--,,体育运营,体育运营、房地产销售及租赁、能源及贸易销售,体育运营、房地产销售及租赁、能源及贸易销售
146,559,万向钱潮,万向钱潮股份公司,浙江,杭州市,111.54亿,9.24亿,7961,1994-01-10,--,,汽车零部件,汽车零部件,汽车零部件及相关机电产品的开发、制造和销售。
147,560,我爱我家,我爱我家控股集团股份有限公司,云南,昆明市,13.19亿,7576.63万,50493,1994-02-02,--,,百货,资产管理、经纪业务、新房业务、商品销售、商业租赁及服务、房地产开发、物业服务、旅游服务,包含房地产经纪服务、房屋资产管理、商业资产管理。
148,561,烽火电子,陕西烽火电子股份有限公司,陕西,宝鸡市,12.17亿,8891.02万,2889,1994-05-09,--,,通信终端设备,短波通信设备、超短波通信设备、航空搜救定位设备、车机内音频控制系统、电声器材,从事通信装备及电声器材的科研、生产、销售。
149,563,陕国投A,陕西省国际信托股份有限公司,陕西,西安市,11.51亿,3.52亿,631,1994-01-10,--,,信托,金融信托业务,信托业务、固有业务和投资顾问等中介业务。
150,564,ST大集,供销大集集团股份有限公司,陕西,西安市,277.90亿,14.74亿,3031,1994-01-10,--,,百货,批发零售连锁经营商业业务、地产业务、金融业务,城乡商品流通综合服务运营。
151,565,渝三峡A,重庆三峡油漆股份有限公司,重庆,重庆市,36.09亿,8112.54万,913,1994-04-08,--,,涂料涂漆,油漆产品,油漆涂料的生产销售。
152,566,海南海药,海南海药股份有限公司,海南,海口市,18.25亿,8120.67万,2589,1994-05-25,--,,化学制剂,抗生素系列、胃肠道用药系列、抗肿瘤药系列、人工耳蜗系列、原料药及其中间体系列,药品及医疗器械研发、生产和销售。
153,567,海德股份,海南海德资本管理股份有限公司,海南,海口市,2.03亿,7326.83万,66,1994-05-25,--,,其他非银行金融,资产管理,不良资产收购处置类业务、不良资产收购重组类业务、不良资产ABS业务以及事务管理类业务。
154,568,泸州老窖,泸州老窖股份有限公司,四川,泸州市,103.95亿,26.02亿,3434,1994-05-09,--,,白酒,白酒,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售。
155,570,苏常柴A,常柴股份有限公司,江苏,常州市,24.23亿,4713.72万,2764,1994-07-01,--,,内燃机,柴油机、汽油机,从事“常柴”牌柴油机及“常柴罗宾”牌汽油机的研发、生产及销售。
156,571,ST大洲,新大洲控股股份有限公司,海南,海口市,16.03亿,4470.77万,3030,1994-05-25,--,,煤炭开采洗选,食品、煤炭、物流运输,煤炭采掘、牛肉食品、物流的经营。
157,572,海马汽车,海马汽车股份有限公司,海南,海口市,100.79亿,-14.15亿,2207,1994-08-08,--,,乘用车,整车、配件销售、劳务,汽车制造及服务。
158,573,粤宏远A,东莞宏远工业区股份有限公司,广东,东莞市,5.66亿,3162.54万,252,1994-08-15,--,,房地产开发,出租、售楼、水电、煤、废旧铅蓄电池回收,房地产开发。
159,576,甘化科工,广东甘化科工股份有限公司,广东,江门市,4.75亿,-2.84亿,326,1994-09-07,--,,造纸,军工业务、食糖贸易,食糖贸易业务和电源产品、预制破片等军工产品的研发、生产、销售。
160,581,威孚高科,无锡威孚高科技集团股份有限公司,江苏,无锡市,90.17亿,26.47亿,5340,1998-09-24,--,,汽车零部件,汽车燃油喷射系统、汽车后处理系统、进气系统,汽车核心零部件产品的研发、生产和销售。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
161,582,北部湾港,北部湾港股份有限公司,广西,南宁市,37.11亿,6.43亿,8378,1995-11-02,--,,港口,装卸堆存、拖轮及港务管理、物流代理业务、理货业务,为客户提供集装箱和散杂货的港口装卸、堆存及船舶港口等服务。
162,584,哈工智能,江苏哈工智能机器人股份有限公司,江苏,无锡市,15.72亿,1.15亿,1253,1995-11-28,--,,氨纶,高端装备制造、机器人一站式平台、房地产,智能制造。
163,585,东电退,东北电气发展股份有限公司,海南,海口市,3298.59万,-3.98亿,416,1995-12-13,--,,其他输变电设备,封闭母线、酒店餐饮住宿业,输变电设备相关产品的研发、设计、生产和销售及酒店餐饮和住宿业务。
164,586,汇源通信,四川汇源光通信股份有限公司,四川,成都市,3.90亿,94.63万,458,1995-12-20,--,,通信传输设备,光缆产品、通信工程服务,"通信光纤和电力光缆,在线监测,塑料光纤,通信工程施工和高速机电工程。"
165,587,*ST金洲,金洲慈航集团股份有限公司,黑龙江,伊春市,116.98亿,11.10亿,43,1996-04-25,--,,珠宝首饰,黄金类业务、铂金类业务、白银类业务、镶嵌类业务、18K金饰品、工艺美术品、融资租赁业务、短融业务、保理业务,黄金珠宝首饰研发设计、加工制造、批发零售及品牌加盟，融资租赁。
166,589,贵州轮胎,贵州轮胎股份有限公司,贵州,贵阳市,69.60亿,-2.22亿,6174,1996-03-08,--,,轮胎,轮胎,商用轮胎研发、生产及销售。
167,590,启迪药业,启迪药业集团股份公司,湖南,衡阳市,3.44亿,990.60万,1214,1996-01-19,--,,中药生产,中成药、西药制剂,研究、开发中国中药传统秘方、验方和西药制剂，生产古汉养生精（口服液、片剂）、养心定悸颗粒、健肾壮腰丸等中成药以及大容量注射剂、原料药、五维赖氨酸口服溶液等西药制剂。
168,591,太阳能,中节能太阳能股份有限公司,重庆,重庆市,52.05亿,8.11亿,1859,1996-02-08,--,,新能源发电,太阳能发电、太阳能产品制造,"太阳能光伏电站的投资运营,以及太阳能电池组件的生产销售。"
169,592,平潭发展,中福海峡(平潭)发展股份有限公司,福建,福州市,8.48亿,-687.32万,1116,1996-03-27,--,,木材加工,林木原木、纤维板、农资贸易流通、生物与新医药产品,造林营林、林木产品加工与销售、以烟草化肥销售为主的农资贸易业务和与平潭综合实验区开发项目的有关业务。
170,593,德龙汇能,德龙汇能集团股份有限公司,四川,成都市,4.86亿,2681.59万,1039,1996-03-12,--,,燃气,商业零售、燃气供应、能源站发电制冷,以天然气能源为主的清洁能源供应业务。
171,595,宝塔实业,宝塔实业股份有限公司,宁夏,银川市,4.36亿,2783.79万,942,1996-04-19,--,,基础件,机械制造、设备制造,轴承、船舶电器的生产与销售。
172,596,古井贡酒,安徽古井贡酒股份有限公司,安徽,亳州市,69.68亿,11.85亿,10745,1996-09-27,--,,白酒,白酒业务、酒店业务,主要从事白酒的生产和销售。
173,597,东北制药,东北制药集团股份有限公司,辽宁,沈阳市,56.76亿,9205.77万,7102,1996-05-23,--,,化学原料药,维生素类、抗感染类、生殖系统和性激素类、神经系统类、抗艾滋病类、消化道类、麻精及含麻系列类、其他普药类、体外（生物）诊断试剂类、大健康领域,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售。
174,598,兴蓉环境,成都市兴蓉环境股份有限公司,四川,成都市,37.31亿,9.16亿,4421,1996-05-29,--,,污水处理,自来水业务、污水处理及中水利用业务、环保业务、工程业务,自来水供应、污水处理及垃圾渗滤液处理。
175,599,青岛双星,青岛双星股份有限公司,山东,青岛市,39.98亿,1.02亿,4009,1996-04-30,--,,轮胎,轮胎制造业、机械制造业,轮胎产品的生产、制造、研发及销售。
176,600,建投能源,河北建投能源投资股份有限公司,河北,石家庄市,105.69亿,3.12亿,4997,1996-06-06,--,,火电,燃煤火力发电、供热、新能源项目,投资、建设、经营管理以电力生产为主的能源项目。
177,601,韶能股份,广东韶能集团股份有限公司,广东,韶关市,35.94亿,4.58亿,4576,1996-08-30,--,,火电,能源（电力）、生态植物纤维制品、精密（智能）制造,成能源（电力）、生态植物纤维制品、精密（智能）制造。
178,603,盛达资源,盛达金属资源股份有限公司,北京,北京市,13.34亿,4.62亿,1569,1996-08-23,--,,铅锌,有色金属采选、有色金属贸易,有色金属矿的采选和销售。
179,605,渤海股份,渤海水业股份有限公司,北京,北京市,16.63亿,1.75亿,1382,1996-09-13,--,,水务,原水、自来水、污水处理、工程、供热、中水处理、污泥处理,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
180,606,*ST顺利,顺利办信息服务股份有限公司,青海,西宁市,5.16亿,7014.46万,465,1996-10-04,--,,其他互联网服务,企业互联网服务,互联网服务业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
181,607,华媒控股,浙江华媒控股股份有限公司,浙江,杭州市,18.32亿,2.10亿,3124,1996-08-30,--,,营销服务,广告策划发布、报刊发行与印刷、教育,经营广告、报刊发行、印刷及新媒体业务、教育培训。
182,608,阳光股份,阳光新业地产股份有限公司,广西,南宁市,5.34亿,1.90亿,150,1996-09-19,--,,房地产开发,开发产品销售、商业租赁、写字楼租赁、商业运营,商业运营管理业务、物业租赁业务以及住宅、商住尾盘销售业务。
183,609,中迪投资,北京中迪投资股份有限公司,北京,北京市,2.71亿,1.34亿,108,1996-10-10,--,,综合,房地产开发、融资租赁业务,投资及投资管理、房地产开发和融资租赁。
184,610,西安旅游,西安旅游股份有限公司,陕西,西安市,7.30亿,-2012.53万,438,1996-09-26,--,,景区,旅行社、酒店、商贸,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
185,611,天首退,内蒙古天首科技发展股份有限公司,内蒙古,包头市,4077.93万,-2152.78万,79,1996-10-08,--,,纺织,动力煤业务、设备租赁、钾肥业务、纺织业、供电、土地租赁,建设键合材料生产项目、建设钾肥造粒项目
186,612,焦作万方,焦作万方铝业股份有限公司,河南,焦作市,50.17亿,1.76亿,2318,1996-09-26,--,,铝,电解铝液、铝锭及铝合金制品,铝冶炼及加工，铝制品、金属材料销售。
187,613,东海A退,海南大东海旅游中心股份有限公司,海南,三亚市,2790.66万,285.90万,109,1997-01-28,--,,酒店,旅游饮食服务,酒店住宿和餐饮服务。
188,615,奥园美谷,奥园美谷科技股份有限公司,湖北,襄阳市,27.95亿,4.18亿,3130,1996-10-16,--,,房地产开发,粘胶系列、房地产销售、医疗美容服务,纤新材料业务和医疗美容业务。
189,616,ST海投,海航投资集团股份有限公司,辽宁,大连市,9670.73万,792.84万,139,1996-11-08,--,,房地产开发,房地产业务、养老服务,商品住宅及商铺的开发和销售、基金管理以及养老服务
190,617,中油资本,中国石油集团资本股份有限公司,新疆,克拉玛依市,293.05亿,135.12亿,4292,1996-10-22,--,,其他非银行金融,银行业务、财务公司业务、金融租赁业务、信托业务、保险业务、保险经纪业务、证券业务、信用增进业务,银行业务、财务公司业务、金融租赁业务、信托业务、保险业务、保险经纪业务、证券业务、信用增进业务与智能化数字化业务。
191,619,海螺新材,海螺(安徽)节能环保新材料股份有限公司,安徽,芜湖市,30.88亿,1478.16万,4443,1996-10-23,--,,其他建材,建材、环保新材料,中高档塑料型材、门窗等的生产、销售以及科研开发。
192,620,新华联,新华联文化旅游发展股份有限公司,北京,北京市,74.41亿,8.53亿,6660,1996-10-29,--,,房地产开发,商品房销售、文旅综合行业,文旅景区开发与运营、房地产项目开发建设、施工总承包、商业管理、酒店管理、物业服务、旅游服务。
193,622,恒立实业,恒立实业发展集团股份有限公司,湖南,岳阳市,5873.31万,-3669.78万,129,1996-11-07,--,,汽车零部件,乙二醇、氯化钴、三元前驱体、金属镍、煤炭、金属钴、国债逆回购、车用空调,汽车空调及零部件业务和贸易。
194,623,吉林敖东,吉林敖东药业集团股份有限公司,吉林,延边朝鲜族自治州,29.77亿,18.45亿,4613,1996-10-28,--,,中药生产,中成药、化学药品、食品,从事中成药、生物化学药研发、制造和销售。
195,625,长安汽车,重庆长安汽车股份有限公司,重庆,重庆市,800.12亿,72.08亿,42444,1997-06-10,--,,乘用车,销售商品、劳务,整车（含乘用车、商用车）的研发、制造和销售以及发动机的研发、生产。
196,626,远大控股,远大产业控股股份有限公司,江苏,连云港市,1015.25亿,-3.72亿,811,1996-11-28,--,,贸易,生物农药、食用油脂、商品贸易、物流代理,贸易、油脂、生态农业。
197,627,天茂集团,天茂实业集团股份有限公司,湖北,荆门市,534.06亿,26.78亿,2239,1996-11-12,--,,保险,保险、医药、化工,通过控股子公司国华人寿从事保险业务。
198,628,高新发展,成都高新发展股份有限公司,四川,成都市,5.73亿,2911.79万,1200,1996-11-18,--,,专业工程,建筑施工、智慧城市建设、运营及相关服务、期货及相关业务,建筑业和智慧城市建设、运营及相关服务业务。
199,629,钒钛股份,攀钢集团钒钛资源股份有限公司,四川,攀枝花市,94.36亿,9.20亿,3278,1996-11-15,--,,普钢,钒、钛、电,钒产品、钛渣、钛白粉的生产、销售、技术研发和应用开发。
200,630,铜陵有色,铜陵有色金属集团股份有限公司,安徽,铜陵市,824.29亿,7.29亿,11832,1996-11-20,--,,铜,阴极铜、硫酸、黄金、白银、铜箔、铜板带,铜、铁、硫金矿采选，铜、金、银、稀有贵金属冶炼及压延加工，硫酸、电子产品生产、铜加工产品等。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
201,631,顺发恒业,顺发恒业股份公司,吉林,长春市,66.82亿,7.58亿,531,1996-11-22,--,,房地产开发,房地产行业、租赁物业收入、物业服务管理、风力发电,房地产开发与经营。
202,632,三木集团,福建三木集团股份有限公司,福建,福州市,66.61亿,6138.70万,570,1996-11-21,--,,综合,建筑材料和金属材料、商品房及土地开发、化工产品、日用百货、船舶物料、食品与食品加工、机电产品、纺织品、物管费、租赁、酒店服务业、基金管理费、基金顾问费,进出口贸易、房地产开发、经营性物业运营管理和创业投资等。
203,633,合金投资,新疆合金投资股份有限公司,新疆,和田地区,6645.77万,-2499.37万,205,1996-11-12,--,,其他金属新材料,冶金,镍基合金材料的生产与销售业务及园林绿化服务业务。
204,635,英力特,宁夏英力特化工股份有限公司,宁夏,石嘴山市,19.65亿,9331.30万,2070,1996-11-20,--,,氯碱,化工、酒店,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
205,636,风华高科,广东风华高新科技股份有限公司,广东,肇庆市,33.55亿,2.62亿,8684,1996-11-29,--,,电子元件,片式电容器、片式电阻器、FPC线路板,研制、生产、销售电子元器件、电子材料等。
206,637,茂化实华,茂名石化实华股份有限公司,广东,茂名市,44.08亿,1.18亿,738,1996-11-14,--,,石油加工,石油化工产品,石油化工产品的生产及销售经营。
207,638,万方发展,万方城镇投资发展股份有限公司,吉林,白山市,1.28亿,1981.97万,139,1996-11-26,--,,贸易,医疗软硬件、系统集成销售及维护、商品、军工产品、粮食加工及销售,军工产业、农业产业以及生物制品等业务
208,639,西王食品,西王食品股份有限公司,山东,滨州市,56.18亿,3.96亿,1892,1996-11-26,--,,植物油,植物油、营养补给品,健康食用油及运动营养和体重管理。
209,650,仁和药业,仁和药业股份有限公司,江西,南昌市,38.44亿,4.41亿,7055,1996-12-10,--,,中药生产,药品、健康相关产品,生产、销售中西药、原料药及健康相关产品。
210,651,格力电器,珠海格力电器股份有限公司,广东,珠海市,1500.20亿,225.08亿,81884,1996-11-18,--,,空调,空调、生活电器、智能装备,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务。
211,652,泰达股份,天津泰达股份有限公司,天津,天津市,190.23亿,5.48亿,1623,1996-11-28,--,,贸易,化工及金属制品贸易、商品房、广陵新城项目、垃圾处理及发电、纺织及滤材,从事生活垃圾焚烧发电及卫生填埋、餐厨、污泥处理和生物质能发电等资源循环利用相关业务。
212,655,金岭矿业,山东金岭矿业股份有限公司,山东,淄博市,10.44亿,-3.20亿,2552,1996-11-28,--,,铁矿石,矿石,铁矿石开采，铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
213,656,金科股份,金科地产集团股份有限公司,重庆,重庆市,347.58亿,22.85亿,24606,1996-11-28,--,,房地产开发,房地产销售、生活服务、新能源、科技产业(园区)投资运营业务,房地产开发为主，新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅。
214,657,中钨高新,中钨高新材料股份有限公司,海南,海口市,67.09亿,1.89亿,7522,1996-12-05,--,,钨,硬质合金,钨制硬质合金和钨、钼、钽、铌等有色金属及其深加工产品和装备的研制、开发、生产、销售及贸易业务。
215,659,珠海中富,珠海中富实业股份有限公司,广东,珠海市,16.15亿,9092.02万,1900,1996-12-03,--,,包装印刷,饮料包装制品、饮料加工、胶罐业务、纸杯业务,"从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"
216,661,长春高新,长春高新技术产业(集团)股份有限公司,吉林,长春市,41.02亿,9.28亿,8045,1996-12-18,--,,生物医药,房地产、基因生物制药、中成药、服务业,"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。"
217,662,天夏退,天夏智慧城市科技股份有限公司,广西,梧州市,16.66亿,5.74亿,37,1996-12-16,--,,行业应用软件,智慧城市,软件产品销售、系统集成建设与运营服务。
218,663,永安林业,福建省永安林业(集团)股份有限公司,福建,三明市,11.92亿,4280.25万,569,1996-12-06,--,,木材加工,林业、人造板、家具装饰,森林资源培育与林木采伐经营、人造板经营。
219,665,湖北广电,湖北省广播电视信息网络股份有限公司,湖北,武汉市,26.12亿,3.31亿,7346,1996-12-10,--,,有线电视,数字电视业务、时移回看业务、互动点播业务、增值业务、数据宽带业务、信息化业务、电视+互联网应用业务,有线电视网络运营。
220,666,经纬纺机,经纬纺织机械股份有限公司,北京,北京市,98.04亿,29.44亿,7466,1996-12-10,--,,其他非银行金融,纺织机械、金融信托、资金投资、非纺机,生产与销售纺织机械业务、棉麻销售业务及金融信托业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
221,667,美好置业,美好置业集团股份有限公司,云南,昆明市,44.38亿,6.47亿,1746,1996-12-05,--,,房地产开发,房地产、PPP项目、农业、设计、施工、混凝土预制构件总承包,房地产开发、装配式建筑业务。
222,668,荣丰控股,荣丰控股集团股份有限公司,上海,上海市,2.70亿,1389.16万,387,1996-12-10,--,,房地产开发,租赁、房地产销、物业管理、医疗器械销售,地产开发与医疗器械配送及技术术服务。
223,669,ST金鸿,金鸿控股集团股份有限公司,吉林,吉林市,37.65亿,2.90亿,984,1996-12-10,--,,燃气,燃气业务、环保业务,天然气综合利用业务，包括气源开发与输送、长输管网建设与管理、城市燃气经营与销售、车用加气站投资与运营、LNG点供、分布式能源项目开发与建设等。
224,670,盈方微,盈方微电子股份有限公司,湖北,荆州市,2.41亿,-3.11亿,159,1996-12-17,--,,半导体材料,集成电路设计及销售业务、电子元器件分销,集成电路芯片的研发、设计和销售、电子元器件分销。
225,671,阳光城,阳光城集团股份有限公司,福建,福州市,331.63亿,22.28亿,9848,1996-12-18,--,,房地产开发,房地产、建工板块、酒店及其他板块,房地产开发与销售。
226,672,上峰水泥,甘肃上峰水泥股份有限公司,甘肃,白银市,45.88亿,7.68亿,2908,1996-12-18,--,,水泥,水泥,水泥熟料、水泥、特种水泥、混凝土、骨料等建材产品的生产制造和销售。
227,673,当代退,当代东方投资股份有限公司,山西,大同市,8.20亿,1.55亿,213,1997-01-24,--,,影视,文化传媒,电视剧、影院运营、演唱会以及云计算、大数据、IT系统集成业务。
228,676,智度股份,智度科技股份有限公司,广东,广州市,63.75亿,5.28亿,575,1996-12-24,--,,其他互联网服务,互联网媒体业务、数字营销业务,互联网媒体业务、数字营销业务及其他业务。
229,677,恒天海龙,恒天海龙股份有限公司,山东,潍坊市,5.54亿,773.29万,858,1996-12-26,--,,粘胶纤维,帘帆布,粘胶纤维及帘帆布的生产与销售。
230,678,襄阳轴承,襄阳汽车轴承股份有限公司,湖北,襄阳市,15.22亿,1422.12万,3397,1997-01-06,--,,汽车零部件,汽车零部件、机器设备,从事轴承及其零部件的生产、科研、销售及相关业务。
231,679,大连友谊,大连友谊(集团)股份有限公司,辽宁,大连市,18.43亿,199.80万,451,1997-01-24,--,,百货,商品零售、房地产销售,以零售业、酒店业、房地产业为主，其它策略性投资为补充。
232,680,山推股份,山推工程机械股份有限公司,山东,济宁市,63.51亿,6053.66万,5124,1997-01-22,--,,工程机械,工业产品销售、商业产品销售,建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务。
