序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
26,32,深桑达A,深圳市桑达实业股份有限公司,广东,深圳市,18.82亿,5525.24万,20696,1993-10-28,--,,电子物流,电子信息、房地产及租赁、电子商贸、电子物流,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
27,34,神州数码,神州数码集团股份有限公司,广东,深圳市,622.16亿,7.23亿,5210,1994-05-09,--,,贸易,云计算和数字化转型业务、信息技术应用创新业务,云计算和数字化转型业务、信息技术应用创新业务、信息技术应用创新业务。
28,35,中国天楹,中国天楹股份有限公司,江苏,南通市,16.12亿,2.25亿,15326,1994-04-08,--,,垃圾发电,综合城市环境服务、废弃物处置与利用、水务综合管理、工业废弃物处置、环保装备制造,综合城市环境服务、废弃物处置与利用、水务综合管理、工业废弃物处置和环保装备制造。
29,36,华联控股,华联控股股份有限公司,广东,深圳市,39.72亿,13.72亿,749,1994-06-17,--,,房地产开发,房产销售、房地产出租、酒店收入,房地产开发和物业经营与服务管理业务。
30,37,深南电A,深圳南山热电股份有限公司,广东,深圳市,20.46亿,37.71万,392,1994-07-01,--,,火电,能源行业、工程劳务、污泥干化,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务等。
31,38,*ST大通,深圳大通实业股份有限公司,广东,深圳市,15.10亿,3.58亿,394,1994-08-08,--,,网络媒体,煤炭、铁精粉贸易、广告发布、民间资本管理、保理业务、化妆品、纺织品、大麻CBD,生物科技板块、大健康板块、供应链服务及民间资本管理业务
32,39,中集集团,中国国际海运集装箱(集团)股份有限公司,广东,深圳市,763.00亿,31.58亿,69520,1994-04-08,--,,金属制品,集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡,主要从事集装箱、道路运输车辆、能源/化工/液态食品装备、海洋工程装备、空港装备的制造及服务业务。
33,40,东旭蓝天,东旭蓝天新能源股份有限公司,广东,深圳市,81.31亿,5.40亿,425,1994-08-08,--,,太阳能,物业及房屋租赁、新能源、生态环保、供应链,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等。"
34,42,中洲控股,深圳市中洲投资控股股份有限公司,广东,深圳市,86.54亿,6.09亿,2609,1994-09-21,--,,房地产开发,房地产、服务、酒店、施工,房地产开发。
35,45,深纺织A,深圳市纺织(集团)股份有限公司,广东,深圳市,14.76亿,7366.17万,1631,1994-08-15,--,,显示器件,物业及租赁、纺织品、偏光片,液晶显示用偏光片的研发、生产、营销。
36,46,泛海控股,泛海控股股份有限公司,北京,北京市,168.76亿,30.93亿,6172,1994-09-12,--,,房地产开发,房地产销售、物业出租、物业管理、装修工程、金融投资、金融贸易,金融业务和房地产业务。
37,48,京基智农,深圳市京基智农时代股份有限公司,广东,深圳市,15.50亿,-1.39亿,2293,1994-11-01,--,,饲料,农业、房地产业、金融,主要涉及现代农业及房地产业。
38,49,德赛电池,深圳市德赛电池科技股份有限公司,广东,深圳市,124.86亿,3.64亿,10565,1995-03-20,--,,电池,锂电池的电源管理及封装集成业务,锂电池电源管理系统及封装集成业务。
39,50,深天马A,天马微电子股份有限公司,广东,深圳市,238.24亿,15.35亿,26797,1995-03-15,--,,显示器件,电子元器件,从事显示器件及相关的材料、设备、产品的设计、制造、销售。
40,55,方大集团,方大集团股份有限公司,广东,深圳市,29.47亿,11.51亿,2959,1996-04-15,--,,其他建材,智慧幕墙系统及材料产业、轨道交通设备产业、新能源产业、房地产产业,高端幕墙系统及材料产业、轨道交通屏蔽门设备产业、新能源产业、房地产等业务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,56,皇庭国际,深圳市皇庭国际企业股份有限公司,广东,深圳市,8.08亿,1.52亿,837,1996-07-08,--,,物业租赁、物业管理,商业运营服务、金融服务、融资租赁服务,商业不动产运营管理业务、资产管理业务以及各配套服务业务。
